timestamp; x; y; z;
0.000000; 0.231903; -0.358643; -0.913254;
0.010012; 0.225891; -0.361374; -0.893219;
0.020024; 0.237198; -0.362839; -0.864075;
0.030035; 0.251022; -0.366135; -0.859192;
0.040047; 0.255463; -0.371017; -0.874496;
0.050059; 0.256149; -0.378174; -0.883591;
0.060070; 0.254684; -0.382980; -0.879639;
0.070082; 0.252701; -0.386017; -0.876724;
0.080094; 0.250381; -0.384232; -0.881073;
0.090105; 0.244064; -0.382919; -0.892426;
0.100117; 0.241592; -0.382080; -0.901871;
0.110129; 0.247513; -0.379776; -0.914444;
0.120140; 0.259491; -0.368423; -0.937714;
0.130152; 0.274704; -0.356277; -0.959549;
0.140164; 0.285339; -0.345703; -0.985977;
0.150175; 0.287949; -0.336700; -1.006927;
0.160187; 0.288452; -0.327606; -1.009964;
0.170199; 0.282288; -0.317581; -1.021851;
0.180211; 0.278610; -0.320007; -1.037399;
0.190222; 0.285873; -0.318588; -1.042267;
0.200234; 0.297089; -0.308182; -1.041260;
0.210246; 0.320557; -0.291260; -1.040359;
0.220257; 0.334839; -0.263016; -1.081528;
0.230269; 0.341660; -0.248398; -1.120728;
0.240281; 0.358490; -0.250488; -1.129257;
0.250292; 0.366241; -0.256287; -1.155289;
0.260304; 0.366165; -0.274460; -1.172516;
0.270316; 0.357895; -0.291489; -1.139328;
0.280327; 0.313995; -0.312607; -1.081879;
0.290339; 0.239929; -0.349472; -1.003128;
0.300351; 0.167847; -0.377899; -0.886887;
0.310362; 0.109680; -0.386749; -0.749527;
0.320374; 0.047150; -0.410095; -0.604080;
0.330386; -0.021637; -0.447144; -0.453781;
0.340398; -0.101776; -0.464493; -0.296875;
0.350409; -0.206268; -0.446121; -0.157257;
0.360421; -0.300613; -0.399170; -0.053619;
0.370433; -0.324219; -0.399200; 0.022751;
0.380444; -0.262299; -0.412994; 0.046249;
0.390456; -0.156815; -0.386703; -0.063309;
0.400468; -0.031647; -0.307602; -0.294739;
0.410479; 0.140381; -0.248398; -0.527588;
0.420491; 0.334854; -0.213486; -0.809952;
0.430503; 0.514420; -0.174820; -1.145111;
0.440514; 0.638931; -0.186935; -1.492691;
0.450526; 0.744461; -0.254120; -1.777145;
0.460538; 0.815857; -0.325882; -1.901062;
0.470550; 0.834045; -0.316788; -1.862961;
0.480562; 0.784882; -0.185394; -1.725174;
0.490573; 0.665756; -0.006775; -1.506348;
0.500586; 0.487457; 0.095627; -1.295776;
0.510597; 0.308350; 0.135834; -1.096542;
0.520608; 0.218353; 0.160675; -0.873199;
0.530621; 0.236572; 0.201767; -0.672638;
0.540632; 0.250092; 0.208206; -0.572769;
0.550643; 0.201096; 0.147461; -0.538193;
0.560656; 0.181793; 0.067963; -0.471237;
0.570667; 0.187363; 0.031540; -0.386810;
0.580679; 0.223389; 0.047821; -0.396164;
0.590690; 0.258621; -0.011154; -0.552139;
0.600702; 0.295273; -0.207916; -0.930771;
0.610714; 0.426514; -0.499115; -1.400177;
0.620725; 0.511429; -0.809784; -1.856506;
0.630737; 0.568237; -0.899612; -1.998917;
0.640749; 0.703384; -0.762177; -1.783890;
0.650760; 0.732040; -0.548767; -1.455887;
0.660773; 0.601212; -0.368332; -1.185349;
0.670784; 0.405212; -0.260437; -0.970978;
0.680795; 0.223892; -0.209412; -0.734314;
0.690808; 0.098557; -0.171738; -0.483276;
0.700819; 0.047913; -0.132294; -0.258438;
0.710831; 0.041260; -0.113083; -0.123871;
0.720843; 0.033386; -0.123978; -0.093552;
0.730854; -0.034592; -0.146606; -0.186111;
0.740866; -0.105499; -0.202942; -0.360443;
0.750877; -0.093277; -0.294022; -0.627640;
0.760889; 0.001633; -0.433914; -0.962311;
0.770901; 0.110397; -0.654053; -1.385742;
0.780912; 0.289062; -0.724426; -1.629807;
0.790924; 0.550430; -0.525452; -1.581421;
0.800936; 0.691360; -0.301132; -1.485535;
0.810947; 0.666077; -0.192154; -1.350983;
0.820960; 0.519836; -0.167099; -1.167175;
0.830971; 0.350266; -0.158188; -0.965134;
0.840982; 0.210480; -0.150574; -0.752762;
0.850995; 0.088104; -0.151291; -0.576172;
0.861006; -0.006638; -0.181870; -0.454193;
0.871018; -0.093384; -0.238922; -0.345062;
0.881029; -0.128311; -0.274597; -0.221313;
0.891041; -0.118134; -0.257645; -0.151276;
0.901053; -0.114487; -0.236435; -0.229355;
0.911064; -0.076477; -0.274155; -0.457962;
0.921076; 0.094559; -0.393509; -0.750687;
0.931088; 0.297684; -0.613281; -1.208115;
0.941099; 0.455368; -0.736313; -1.693924;
0.951111; 0.693253; -0.588898; -1.813553;
0.961123; 0.904648; -0.380768; -1.667236;
0.971134; 0.913315; -0.221863; -1.525421;
0.981147; 0.746277; -0.118820; -1.397491;
0.991158; 0.539948; -0.082245; -1.248260;
1.001169; 0.370316; -0.085617; -1.062119;
1.011182; 0.242630; -0.088272; -0.882584;
1.021193; 0.145660; -0.072052; -0.723358;
1.031205; 0.076645; -0.058746; -0.558044;
1.041216; 0.025192; -0.066833; -0.416382;
1.051228; 0.003555; -0.081497; -0.338257;
1.061240; 0.009354; -0.117645; -0.409164;
1.071251; 0.070938; -0.182617; -0.634079;
1.081263; 0.218109; -0.243103; -0.908859;
1.091275; 0.365540; -0.319290; -1.229630;
1.101286; 0.483902; -0.401459; -1.561142;
1.111298; 0.583252; -0.387939; -1.737183;
1.121310; 0.642609; -0.301788; -1.693680;
1.131321; 0.613708; -0.222702; -1.536057;
1.141334; 0.506500; -0.182404; -1.335068;
1.151345; 0.363861; -0.182800; -1.133682;
1.161357; 0.238464; -0.192123; -0.942062;
1.171369; 0.146393; -0.195862; -0.750580;
1.181380; 0.052856; -0.180344; -0.537674;
1.191392; -0.129044; -0.149216; -0.397934;
1.201403; -0.259399; -0.141418; -0.213943;
1.211415; -0.251251; -0.153336; -0.033234;
1.221427; -0.172440; -0.196899; -0.045807;
1.231438; -0.059662; -0.252365; -0.210953;
1.241450; 0.043137; -0.298203; -0.705505;
1.251462; 0.171036; -0.311935; -1.352936;
1.261473; 0.357025; -0.306656; -1.806717;
1.271486; 0.552795; -0.249039; -1.933594;
1.281497; 0.689438; -0.182114; -1.823502;
1.291508; 0.612900; -0.102234; -1.599487;
1.301521; 0.418564; -0.063766; -1.395752;
1.311532; 0.247223; -0.093887; -1.210022;
1.321544; 0.129944; -0.128174; -1.005020;
1.331555; 0.035309; -0.149216; -0.830887;
1.341567; -0.049133; -0.172363; -0.712067;
1.351579; -0.043640; -0.187103; -0.504501;
1.361590; -0.021439; -0.197540; -0.322586;
1.371602; -0.034882; -0.229660; -0.238510;
1.381614; -0.008392; -0.279938; -0.201874;
1.391625; 0.003967; -0.329330; -0.298828;
1.401637; -0.041489; -0.414963; -0.546875;
1.411649; -0.057739; -0.507111; -0.810104;
1.421660; -0.012497; -0.608780; -1.110077;
1.431673; 0.055923; -0.741531; -1.548813;
1.441684; 0.176941; -0.777222; -1.848663;
1.451695; 0.351715; -0.671082; -1.777740;
1.461708; 0.528503; -0.477173; -1.530792;
1.471719; 0.585129; -0.295792; -1.342072;
1.481730; 0.512711; -0.162613; -1.194824;
1.491742; 0.379883; -0.084045; -1.034302;
1.501753; 0.220108; -0.046326; -0.864426;
1.511765; 0.080917; -0.040863; -0.686432;
1.521777; -0.004333; -0.053009; -0.488220;
1.531788; -0.042862; -0.074936; -0.288773;
1.541800; -0.059967; -0.119843; -0.152100;
1.551812; -0.052963; -0.194031; -0.098953;
1.561823; -0.026688; -0.266434; -0.164124;
1.571835; -0.041428; -0.326172; -0.359589;
1.581847; -0.088562; -0.423401; -0.662506;
1.591859; -0.064224; -0.553787; -1.172256;
1.601870; 0.010727; -0.700256; -1.570663;
1.611882; 0.163956; -0.755127; -1.778732;
1.621894; 0.391632; -0.634216; -1.781158;
1.631905; 0.554901; -0.413681; -1.599167;
1.641917; 0.596558; -0.238052; -1.445038;
1.651929; 0.526749; -0.145142; -1.326462;
1.661940; 0.382874; -0.107529; -1.199554;
1.671952; 0.231552; -0.101364; -1.060928;
1.681964; 0.090851; -0.101852; -0.879364;
1.691975; -0.001205; -0.104187; -0.665482;
1.701987; -0.068283; -0.113113; -0.441452;
1.711999; -0.151520; -0.135635; -0.246826;
1.722011; -0.206100; -0.164093; -0.108353;
1.732022; -0.193466; -0.202621; -0.046097;
1.742034; -0.222610; -0.241440; -0.161346;
1.752046; -0.288040; -0.264328; -0.410110;
1.762057; -0.213974; -0.256866; -0.641327;
1.772069; 0.007050; -0.282898; -0.906525;
1.782081; 0.271637; -0.422821; -1.244720;
1.792092; 0.506241; -0.551315; -1.630264;
1.802104; 0.714859; -0.516586; -1.841354;
1.812116; 0.865875; -0.385437; -1.864716;
1.822127; 0.974167; -0.278595; -1.787170;
1.832139; 1.009171; -0.158386; -1.631363;
1.842151; 0.857590; -0.034439; -1.458649;
1.852162; 0.575073; 0.004898; -1.294876;
1.862174; 0.333893; -0.023590; -1.119156;
1.872186; 0.155548; -0.031052; -0.941101;
1.882198; 0.026047; -0.020874; -0.754486;
1.892209; -0.027832; -0.010330; -0.548538;
1.902221; -0.017761; 0.012009; -0.322784;
1.912233; 0.067459; 0.063721; -0.119812;
1.922244; 0.170029; 0.124588; -0.035294;
1.932256; 0.104095; 0.096283; -0.186462;
1.942268; -0.100067; -0.060120; -0.542587;
1.952279; -0.166962; -0.277100; -0.879395;
1.962291; -0.047684; -0.544403; -1.157944;
1.972303; 0.110123; -0.829056; -1.486572;
1.982314; 0.330872; -0.837784; -1.701279;
1.992326; 0.542191; -0.552521; -1.651352;
2.002338; 0.661469; -0.314178; -1.462402;
2.012350; 0.682388; -0.227844; -1.264389;
